cedula,salario,ciudad,edad,fecha_nacimiento,genero
1618637542,3146109,Barranquilla,46,18/10/1979,M
1283642419,5199205,Bogotá,21,13/01/2004,M
1945803228,3097038,Bogotá,26,19/10/1999,M
797846414,3854794,Bogotá,30,01/11/1995,M
1006406378,1173186,Cartagena,43,21/02/1982,F
1211263687,1911780,Barranquilla,37,05/07/1988,F
433734972,5094773,Santa Marta,36,06/08/1989,F
425968276,4866681,Bogotá,43,09/01/1982,F
680094950,2633172,Medellín,33,11/07/1992,F
1924837113,3498720,Bogotá,38,15/04/1987,F
679991378,1509854,Bogotá,33,11/06/1992,F
439389014,5070060,Cali,37,09/07/1988,F
259467210,2463774,Bogotá,29,09/07/1996,M
1982458954,2622159,Bogotá,18,16/02/2007,M
1582714583,1828974,Barranquilla,33,24/01/1992,F
1443267572,1489577,Cali,49,02/09/1976,F
444285667,4130040,Bogotá,44,08/06/1981,M
623608295,1932191,Cali,44,03/11/1981,M
903664919,2561065,Bucaramanga,47,02/11/1978,M
658061058,1097431,Bogotá,35,08/01/1990,F
98409749,3886710,Bucaramanga,36,27/04/1989,M
252285876,2143145,Barranquilla,28,20/01/1997,F
963477463,2235860,Bogotá,31,08/03/1994,F
1437830251,3010792,Bogotá,41,16/03/1984,M
1893569565,4423142,Manizales,47,04/11/1978,F
921989541,1346772,Bogotá,33,07/10/1992,M
13344769,5910095,Bogotá,30,23/08/1995,M
790932287,2385966,Bogotá,35,25/05/1990,M
797716372,2148267,Pereira,41,06/06/1984,M
514579232,2889334,Cali,20,20/10/2005,M
1316710475,4882554,Bucaramanga,18,23/12/2007,F
489546681,6275252,Cartagena,29,25/02/1996,F
116328085,1997017,Cali,22,10/03/2003,F
40349564,2096091,Cúcuta,29,19/02/1996,M
1865189739,2875278,Medellín,33,10/01/1992,F
109052376,2204867,Cali,30,22/10/1995,M
1260819632,5260130,Bucaramanga,49,13/07/1976,M
116406362,1635555,Cali,38,07/12/1987,M
490404538,5774396,Pereira,38,19/02/1987,M
1727389822,2225836,Cali,41,27/12/1984,F
609121577,5784471,Cartagena,23,08/11/2002,M
210427519,1822994,Bogotá,45,23/02/1980,M
1264751707,4006399,Bogotá,34,28/05/1991,F
1583512143,3276506,Bogotá,41,20/11/1984,M
1009745294,6026451,Bogotá,24,26/02/2001,M
1968805693,4593165,Bogotá,19,26/10/2006,F
399151677,2030025,Bogotá,43,12/01/1982,F
1234821422,2911887,Bogotá,38,14/09/1987,F
518464061,5354072,Barranquilla,25,12/11/2000,M
867592370,2339853,Medellín,26,17/02/1999,M
1652661739,1555232,Medellín,46,11/11/1979,F
71136438,3380121,Bogotá,23,28/01/2002,M
406917567,2087554,Bogotá,51,27/07/1974,M
209502978,3605771,Manizales,25,04/08/2000,F
1555932260,1340510,Barranquilla,41,12/07/1984,F
471901618,1970825,Cali,31,27/11/1994,F
784414982,2237275,Bogotá,41,23/08/1984,M
742395540,4354563,Cartagena,29,14/03/1996,M
1944879560,4424636,Bogotá,33,24/03/1992,M
289394470,1130188,Medellín,35,21/09/1990,M
66972561,5644815,Cúcuta,24,20/05/2001,M
1937948675,4129056,Barranquilla,42,25/09/1983,F
1909242072,2417195,Cali,29,15/08/1996,M
281820813,2627226,Barranquilla,32,27/07/1993,F
1334556529,2750516,Pereira,25,19/12/2000,F
1665351289,1509641,Bucaramanga,18,11/05/2007,M
1318306184,6583286,Bogotá,33,27/04/1992,M
